_link,_link_releases,_link_main,id,title,description,status,date,value_amount,value_currency
0.releases.1.awards.0,0.releases.1,0,ab81a140-69f4-4398-ba86-4e154ca92039,000007/NC/NCB/2023/2024/Gisenyi,LOCATION CANTINE,active,2023-11-14T09:19:27Z,496780,RWF
0.releases.2.awards.0,0.releases.2,0,d8bd03c5-cb2e-4ff3-a898-7b9a2c9610aa,000006/NC/NCB/2023/2024/Gisenyi,Refreshment of hospital staff and visitors,active,2023-11-14T09:23:08Z,15804,RWF
0.releases.3.awards.0,0.releases.3,0,c714a6c2-278d-464c-a650-10f8853129f3,000004/NC/NCB/2024/2025/Gisenyi,Re-Advertising of Cleaning services,active,2024-11-22T16:30:56Z,140355400,RWF
0.releases.5.awards.0,0.releases.5,0,7cddff0f-62bb-42aa-ac06-26ee7de74336,000005/C/NCB/2023/2024/CDAT,Hiring a Consultancy firm for preparation of Resettlement Action Plan (RAP) report for Bugarama marshland,active,2024-06-11T15:42:00Z,27690000,RWF
0.releases.6.awards.0,0.releases.6,0,7cddff0f-62bb-42aa-ac06-26ee7de74336,000005/C/NCB/2023/2024/CDAT,Hiring a Consultancy firm for preparation of Resettlement Action Plan (RAP) report for Bugarama marshland,active,2024-06-11T15:42:00Z,27690000,RWF
0.releases.9.awards.0,0.releases.9,0,3e9dee6d-8884-4f57-b48c-28ddce86ec6c,000003/C/ICB/2024/2025/MINICOM,"Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.",active,2025-08-26T12:25:07Z,260240,RWF
0.releases.10.awards.0,0.releases.10,0,3e9dee6d-8884-4f57-b48c-28ddce86ec6c,000003/C/ICB/2024/2025/MINICOM,"Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.",active,2025-08-26T12:25:07Z,260240,RWF
0.releases.11.awards.0,0.releases.11,0,e13eb89f-729a-401e-8df1-bf4d207fd543,000001/C/ICB/2023/2024/NESA SPIU,Consulting firm services for evaluating Rwanda's Remedial Teaching and Learning Pilot program (P1-P3),active,2024-10-09T13:13:18Z,280000000,RWF
0.releases.12.awards.0,0.releases.12,0,e13eb89f-729a-401e-8df1-bf4d207fd543,000001/C/ICB/2023/2024/NESA SPIU,Consulting firm services for evaluating Rwanda's Remedial Teaching and Learning Pilot program (P1-P3),active,2024-10-09T13:13:18Z,280000000,RWF
0.releases.13.awards.0,0.releases.13,0,885ba843-beb9-45ad-ab2f-9b90c13d45d6,000001/NC/NCB/2025/2026/MoE,Hiring a service provider for codification of MoE assets,active,2025-12-09T09:30:00Z,1125012,RWF
0.releases.14.awards.0,0.releases.14,0,494436cf-aa16-41a7-b209-8e4452193b8b,000005/W/NCB/2025/2026/NYAMAGABE,Rehabilitation of Teachers Hostel,active,2026-01-02T08:18:14Z,24461270.2,RWF
0.releases.15.awards.0,0.releases.15,0,945d7f10-8319-4283-ba8c-e7bb00c59e48,000005/NC/NCB/2025/2026/RFL,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",active,2025-12-01T11:23:37Z,4522350,RWF
0.releases.16.awards.0,0.releases.16,0,d9eecace-3051-444d-b69b-fd32e82d35e2,000009/G/NCB/2024/2025/RISA,Tender for supply of photo  CAMERAS   on behalf of all Government Institutions,active,2025-03-14T16:39:07Z,37504530000,RWF
0.releases.17.awards.0,0.releases.17,0,2b2194dc-d833-4c17-b66c-d7083afa8fd9,000005/NC/NCB/2025/2026/RFL,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",active,2025-12-01T11:23:37Z,4088700,RWF
0.releases.18.awards.0,0.releases.18,0,08452e56-0284-489a-8ff0-9f1931915f6b,000004/NC/NCB/2025/2026/MINUBUMWE,"Tender for conception, design and printing of documents and other material for MINUBUMWE 's events( Certificates,  Umbrellas , pull-up banners, branded t-shirts,…..)",active,2025-12-04T11:50:44Z,36851990,RWF
0.releases.19.awards.0,0.releases.19,0,e8f793b1-071d-449d-a926-9c69278829e1,000005/NC/NCB/2025/2026/RFL,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",active,2025-12-01T11:23:37Z,3097500,RWF
0.releases.20.awards.0,0.releases.20,0,f675864d-30dd-4a15-a607-2295e5afc138,000005/NC/NCB/2025/2026/RFL,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",active,2025-12-01T11:23:37Z,4620231,RWF
0.releases.26.awards.0,0.releases.26,0,016ab4d9-b8a4-495f-9529-d2e21e0eca24,000004/NC/NCB/2023/2024/Meteo Rwanda,Hire a company to provide TV weather presenters outfit,active,2023-12-20T10:40:59Z,13263200,RWF
0.releases.27.awards.0,0.releases.27,0,016ab4d9-b8a4-495f-9529-d2e21e0eca24,000004/NC/NCB/2023/2024/Meteo Rwanda,Hire a company to provide TV weather presenters outfit,active,2023-12-20T10:40:59Z,13263200,RWF
0.releases.30.awards.0,0.releases.30,0,01739ae0-f436-464d-b954-c3e5f4d7098a,000004/G/ICB/2022/2023/RDAP,Supply of Single Digital ID Registration Kit,active,2023-08-25T11:18:17Z,4703786.01,EUR
0.releases.31.awards.0,0.releases.31,0,78b9f21a-3d22-4bd6-a46a-176fc5122e85,000011/G/ICB/2023/2024/RDAP,PURCHASE OF IT DEVICES (DESKTOPS AND LAPTOPS) FOR ONE HUNDRED AND EIGHTY (180) SCHOOLS,active,2025-02-17T22:08:43Z,3367000,USD
0.releases.32.awards.0,0.releases.32,0,dfc176cc-bdee-4ee9-9577-f0108b38d7cd,000001/C/ICB/2023/2024/CoK,Consultancy Services to provide Contract Management and Construction Supervision for the Gatenga Informal Settlements Upgrading Works,active,2024-01-11T14:42:40Z,880634000,RWF
0.releases.33.awards.0,0.releases.33,0,dfc176cc-bdee-4ee9-9577-f0108b38d7cd,000001/C/ICB/2023/2024/CoK,Consultancy Services to provide Contract Management and Construction Supervision for the Gatenga Informal Settlements Upgrading Works,active,2024-01-11T14:42:40Z,880634000,RWF
0.releases.34.awards.0,0.releases.34,0,31118ed2-5c82-41ed-8c1e-92a7756c6dc1,000002/C/ICB/2021/2022/CoK,TA for consultancy services for storm-water management master plan  in the COK,active,2022-06-08T10:24:22Z,862066700,RWF
0.releases.35.awards.0,0.releases.35,0,31118ed2-5c82-41ed-8c1e-92a7756c6dc1,000002/C/ICB/2021/2022/CoK,TA for consultancy services for storm-water management master plan  in the COK,active,2022-06-08T10:24:22Z,862066700,RWF
0.releases.36.awards.0,0.releases.36,0,0c3ee6e4-be41-476f-a99c-512d616af0e9,000003/W/NCB/2023/2024/NYAMAGABE,Periodic maintenance of roads in NYAMAGABE DISTRICT,active,2023-11-14T11:36:28Z,65522745,RWF
0.releases.37.awards.0,0.releases.37,0,858e9908-8da0-4113-a512-b9787b746a83,000004/G/NCB/2025/2026/RSB,Supply of laboratory gases on a framework contract,active,2026-01-02T22:39:26Z,64113648,RWF
0.releases.38.awards.0,0.releases.38,0,dc0fa788-54e3-4e72-9463-f6041b694032,000004/G/NCB/2025/2026/RSB,Supply of laboratory gases on a framework contract,active,2026-01-02T22:41:54Z,39257184,RWF
0.releases.42.awards.0,0.releases.42,0,fe8379b4-abcb-4b96-a342-011441307b97,000014/G/NCB/2025/2026/CoK,"Operationalization of Home Based ECD(HBECD)/porridge for 251HBECD (Gasab0:187, Kicukiro:19;Nyarugenge:45)",active,2025-11-27T11:27:36Z,85982040.48,RWF
0.releases.43.awards.0,0.releases.43,0,a92fc902-dbc1-4869-9283-bda38b072d33,000001/G/ICB/2025/2026/REB,Supply of chalk in all districts on framework contract,active,2025-11-24T13:31:53Z,1382160668,RWF
0.releases.44.awards.0,0.releases.44,0,31118ed2-5c82-41ed-8c1e-92a7756c6dc1,000002/C/ICB/2021/2022/CoK,TA for consultancy services for storm-water management master plan  in the COK,active,2022-06-08T10:24:22Z,862066700,RWF
0.releases.45.awards.0,0.releases.45,0,31118ed2-5c82-41ed-8c1e-92a7756c6dc1,000002/C/ICB/2021/2022/CoK,TA for consultancy services for storm-water management master plan  in the COK,active,2022-06-08T10:24:22Z,862066700,RWF
0.releases.46.awards.0,0.releases.46,0,dfc176cc-bdee-4ee9-9577-f0108b38d7cd,000001/C/ICB/2023/2024/CoK,Consultancy Services to provide Contract Management and Construction Supervision for the Gatenga Informal Settlements Upgrading Works,active,2024-01-11T14:42:40Z,880634000,RWF
