_link,_link_releases,_link_releases_awards,_link_main,id,name
0.releases.1.awards.0.suppliers.0,0.releases.1,0.releases.1.awards.0,0,RW-RRA-SUPLR-5c3bd7c759a3f6e6ad1fdfdd6d6e14fc677390acca449323817b1c87229d4c1f,SALAMA MULTI SERVICE Ltd
0.releases.2.awards.0.suppliers.0,0.releases.2,0.releases.2.awards.0,0,RW-RRA-SUPLR-5c3bd7c759a3f6e6ad1fdfdd6d6e14fc677390acca449323817b1c87229d4c1f,SALAMA MULTI SERVICE Ltd
0.releases.3.awards.0.suppliers.0,0.releases.3,0.releases.3.awards.0,0,RW-RRA-SUPLR-2cec01654aae9789eec56cc716b78ab5b5548e3294232ce9579315656a6141f6,SCC SERVICE Ltd
0.releases.5.awards.0.suppliers.0,0.releases.5,0.releases.5.awards.0,0,RW-RRA-SUPLR-48ef785520bcf70372c15775c7eee402e8e83625529effc51541a68377e835bc,BUREAU FOR ENGINEERING AND ENVIRONMENTAL STUDIES/BESST Ltd
0.releases.6.awards.0.suppliers.0,0.releases.6,0.releases.6.awards.0,0,RW-RRA-SUPLR-48ef785520bcf70372c15775c7eee402e8e83625529effc51541a68377e835bc,BUREAU FOR ENGINEERING AND ENVIRONMENTAL STUDIES/BESST Ltd
0.releases.9.awards.0.suppliers.0,0.releases.9,0.releases.9.awards.0,0,RW-RRA-SUPLR-822c09cc552968a2a5ddcfdec9a30bc90196409389b2888a5765480eee6f6b03,EDIFICE GROUP SARL
0.releases.10.awards.0.suppliers.0,0.releases.10,0.releases.10.awards.0,0,RW-RRA-SUPLR-822c09cc552968a2a5ddcfdec9a30bc90196409389b2888a5765480eee6f6b03,EDIFICE GROUP SARL
0.releases.11.awards.0.suppliers.0,0.releases.11,0.releases.11.awards.0,0,RW-RRA-SUPLR-a2f69e85fb06ea690f029000d5af70e7149897e1a7bc32ccc6af090415803d1f,FAITH CONTRACTORS Ltd
0.releases.12.awards.0.suppliers.0,0.releases.12,0.releases.12.awards.0,0,RW-RRA-SUPLR-a2f69e85fb06ea690f029000d5af70e7149897e1a7bc32ccc6af090415803d1f,FAITH CONTRACTORS Ltd
0.releases.13.awards.0.suppliers.0,0.releases.13,0.releases.13.awards.0,0,RW-RRA-SUPLR-b997313b7dd307e016de51e37286b7682553abada2141f44d889855df65cc224,GRASSLAND PROPERTY CONSULTANCY Ltd
0.releases.14.awards.0.suppliers.0,0.releases.14,0.releases.14.awards.0,0,RW-RRA-SUPLR-f99228bff6a8991783d05193962a88d8dc231db2a39d201db5b14e5819f83f27,COCOFPA  LTD
0.releases.15.awards.0.suppliers.0,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-0ab338c65e26b4ffc1022df0c5d6fb9173560b7247feb397e4fdcc912ac8e939,URBAN PARK SUITES LTD
0.releases.15.awards.0.suppliers.1,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-4f0e5918fe784050ad1c5bd547785cb6393012174c5ca497beeff8d96e429201,CLUB HOUSE LA PALISSE  LTD
0.releases.15.awards.0.suppliers.2,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-f85ac784a31ad1d2f7c18761cc9975cac16c58b734829dc63988a4d1f33d9d2c,CERCLESPORTIFDEKIGALI
0.releases.15.awards.0.suppliers.3,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-806acec851e66447f870de11254b7f1eb9ac5a9a1f7a694ecf4dfaf3896eca47,LE SANITAS  LTD
0.releases.15.awards.0.suppliers.4,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-84ba34cceaba83121115d9cace59fbb49dbd2e1a678344d8db8c4b20faf36e9b,SILENT HILL (R)  LTD
0.releases.15.awards.0.suppliers.5,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-904b07df1692046b82787e3633399cf5856e99314dada3fc88141e61e098d3c3,NYARUTARAMA SPORTS TRUST CLUB  LTD
0.releases.15.awards.0.suppliers.6,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-989969058ad299a4897d65768164aa08ff9abbbe7da3000013a5cd99d69c2712,CHRIS COMPANY  LTD
0.releases.15.awards.0.suppliers.7,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-69c1713b3f3b15879fc26ca55b956d9f7835381ec9f0bdbec5c4e1e4bcf05b4a,SAINTE FAMILLE HOTELS Ltd
0.releases.15.awards.0.suppliers.8,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-7bf687cdbb79fdc66fee03fc721287f90cb9708a3d5b45dae2bc379b74332854,BODYMAX FITNESS Ltd
0.releases.15.awards.0.suppliers.9,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-d97ed6b35bd9a89ce8c7c9e5996c0c0dbab086aec6824b11114e66e2bf75e11a,FITNESSPOINT Ltd
0.releases.15.awards.0.suppliers.10,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-068b3526f76168c27ba705f68610bf0229aac44e3d133233ce39eec2c7d62ae6,TEIRRA ANJALI BUSINESS COMPANY Ltd
0.releases.15.awards.0.suppliers.11,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-43ad774fc88145b8268b9682a35a89eb0fc0122f7f0f621a0a4be8b04654e4fc,GYMAX Ltd
0.releases.15.awards.0.suppliers.12,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-cd026e3313c767e5df539c94cab91a1b7a3d641a438d503519802d69f4bc5fa8,PRO FITNESS CLUB Limited
0.releases.15.awards.0.suppliers.13,0.releases.15,0.releases.15.awards.0,0,RW-RRA-SUPLR-0cb9b5b32e9a8673161a0a8de0c7aaeb80f864b240b5c6a8aa65695df338d826,KT FITNESS CENTER Ltd
0.releases.16.awards.0.suppliers.0,0.releases.16,0.releases.16.awards.0,0,RW-RRA-SUPLR-8e98ad1215846ea24c46f4dd5bcb60a1aa384a92acbee44abfeeb661ec913797,RINDIRO BUSINESS COMPANY Ltd
0.releases.17.awards.0.suppliers.0,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-068b3526f76168c27ba705f68610bf0229aac44e3d133233ce39eec2c7d62ae6,TEIRRA ANJALI BUSINESS COMPANY Ltd
0.releases.17.awards.0.suppliers.1,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-4f0e5918fe784050ad1c5bd547785cb6393012174c5ca497beeff8d96e429201,CLUB HOUSE LA PALISSE  LTD
0.releases.17.awards.0.suppliers.2,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-f85ac784a31ad1d2f7c18761cc9975cac16c58b734829dc63988a4d1f33d9d2c,CERCLESPORTIFDEKIGALI
0.releases.17.awards.0.suppliers.3,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-806acec851e66447f870de11254b7f1eb9ac5a9a1f7a694ecf4dfaf3896eca47,LE SANITAS  LTD
0.releases.17.awards.0.suppliers.4,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-84ba34cceaba83121115d9cace59fbb49dbd2e1a678344d8db8c4b20faf36e9b,SILENT HILL (R)  LTD
0.releases.17.awards.0.suppliers.5,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-904b07df1692046b82787e3633399cf5856e99314dada3fc88141e61e098d3c3,NYARUTARAMA SPORTS TRUST CLUB  LTD
0.releases.17.awards.0.suppliers.6,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-989969058ad299a4897d65768164aa08ff9abbbe7da3000013a5cd99d69c2712,CHRIS COMPANY  LTD
0.releases.17.awards.0.suppliers.7,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-69c1713b3f3b15879fc26ca55b956d9f7835381ec9f0bdbec5c4e1e4bcf05b4a,SAINTE FAMILLE HOTELS Ltd
0.releases.17.awards.0.suppliers.8,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-0ab338c65e26b4ffc1022df0c5d6fb9173560b7247feb397e4fdcc912ac8e939,URBAN PARK SUITES LTD
0.releases.17.awards.0.suppliers.9,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-7bf687cdbb79fdc66fee03fc721287f90cb9708a3d5b45dae2bc379b74332854,BODYMAX FITNESS Ltd
0.releases.17.awards.0.suppliers.10,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-d97ed6b35bd9a89ce8c7c9e5996c0c0dbab086aec6824b11114e66e2bf75e11a,FITNESSPOINT Ltd
0.releases.17.awards.0.suppliers.11,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-43ad774fc88145b8268b9682a35a89eb0fc0122f7f0f621a0a4be8b04654e4fc,GYMAX Ltd
0.releases.17.awards.0.suppliers.12,0.releases.17,0.releases.17.awards.0,0,RW-RRA-SUPLR-cd026e3313c767e5df539c94cab91a1b7a3d641a438d503519802d69f4bc5fa8,PRO FITNESS CLUB Limited
