_link,_link_releases,_link_main,id,awardID,title,description,status,dateSigned,period_startDate,period_endDate,period_durationInDays,value_amount,value_currency
0.releases.1.contracts.0,0.releases.1,0,C1013980242023000025,ab81a140-69f4-4398-ba86-4e154ca92039,LOCATION CANTINE,"This contract amendment is framework agreement and shall be renewable  based on service provider performance 

",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,2026-12-31T00:00:00Z,364,496780,RWF
0.releases.2.contracts.0,0.releases.2,0,C1013980242023000024,d8bd03c5-cb2e-4ff3-a898-7b9a2c9610aa,Refreshment of hospital staff and visitors,This contract is framework agreement and shall be renewable for consecutive two years based on service provider performance ,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,2026-12-31T00:00:00Z,364,15804,RWF
0.releases.3.contracts.0,0.releases.3,0,C1013980242024000020,c714a6c2-278d-464c-a650-10f8853129f3,Re-Advertising of Cleaning services,"This contract amendment  is framework agreement. This contract  will be renewable based on Service provider performance
                                           
",active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,2026-12-31T00:00:00Z,364,131650600,RWF
0.releases.5.contracts.0,0.releases.5,0,C1203356722024000045,7cddff0f-62bb-42aa-ac06-26ee7de74336,Hiring a Consultancy firm for preparation of Resettlement Action Plan (RAP) report for Bugarama marshland,"The time period for the service shall be one twenty (120) days counting from the date of receipt of the written order to commence.

Before receipt of the written order to commence, the Consultant will provide Performance Guarantee worth 2,769,000 Frw (equivalent of 10% of the total cost).",active,2024-12-13T00:00:00Z,2024-12-13T00:00:00Z,2026-12-13T00:00:00Z,730,27690000,RWF
0.releases.6.contracts.0,0.releases.6,0,C1203356722024000045,7cddff0f-62bb-42aa-ac06-26ee7de74336,Hiring a Consultancy firm for preparation of Resettlement Action Plan (RAP) report for Bugarama marshland,"The time period for the service shall be one twenty (120) days counting from the date of receipt of the written order to commence.

Before receipt of the written order to commence, the Consultant will provide Performance Guarantee worth 2,769,000 Frw (equivalent of 10% of the total cost).",active,2024-12-13T00:00:00Z,2024-12-13T00:00:00Z,2026-12-13T00:00:00Z,730,27690000,RWF
0.releases.9.contracts.0,0.releases.9,0,C1008058882025000015,3e9dee6d-8884-4f57-b48c-28ddce86ec6c,"Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.","3 months contract for Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.",pending,2025-10-07T00:00:00Z,2025-10-07T00:00:00Z,2026-04-06T00:00:00Z,181,373835283.86,RWF
0.releases.10.contracts.0,0.releases.10,0,C1008058882025000015,3e9dee6d-8884-4f57-b48c-28ddce86ec6c,"Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.","3 months contract for Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.",pending,2025-10-07T00:00:00Z,2025-10-07T00:00:00Z,2026-04-06T00:00:00Z,181,373835283.86,RWF
0.releases.11.contracts.0,0.releases.11,0,C1209012202024000001,e13eb89f-729a-401e-8df1-bf4d207fd543,Consulting firm services for evaluating Rwanda s Remedial Teaching and Learning Pilot program (P1-P3),,pending,2026-01-08T00:00:00Z,2026-01-08T00:00:00Z,2026-07-14T00:00:00Z,187,280000000,RWF
0.releases.12.contracts.0,0.releases.12,0,C1209012202024000001,e13eb89f-729a-401e-8df1-bf4d207fd543,Consulting firm services for evaluating Rwanda s Remedial Teaching and Learning Pilot program (P1-P3),,pending,2026-01-08T00:00:00Z,2026-01-08T00:00:00Z,2026-07-14T00:00:00Z,187,280000000,RWF
0.releases.13.contracts.0,0.releases.13,0,C1074330622025000039,885ba843-beb9-45ad-ab2f-9b90c13d45d6,Hiring a service provider for codification of MoE assets,This is the framework contract for hiring a service provider for codification of MoE assets for a period of one year renewable upon satisfactory performance of the service provider.,pending,2025-12-28T00:00:00Z,2025-12-28T00:00:00Z,2026-12-27T00:00:00Z,364,3068,RWF
0.releases.15.contracts.0,0.releases.15,0,C1078616252025000034,945d7f10-8319-4283-ba8c-e7bb00c59e48,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming","The Contractor shall provide access to sports and recreational facilities for RFI staff, including gym/fitness services, aerobics classes, sauna, and swimming pool facilities, under a framework agreement for one (1) year, renewable up to two (2) additional years, subject to satisfactory performance and mutual agreement.",pending,2025-12-24T00:00:00Z,2025-12-24T00:00:00Z,2026-12-14T00:00:00Z,355,36320,RWF
0.releases.16.contracts.0,0.releases.16,0,C1071118822025000016,d9eecace-3051-444d-b69b-fd32e82d35e2,Tender for supply of photo  CAMERAS   on behalf of all Government Institutions,Amendment No. 2 – Additional for new items.All other terms and conditions of the original contract  and its first amendment remain unchanged.,pending,2025-05-15T00:00:00Z,2025-05-15T00:00:00Z,2026-05-15T00:00:00Z,365,117776459,RWF
