_link,_link_releases,_link_releases_contracts,_link_main,id,date,description,rationale
0.releases.5.contracts.0.amendments.0,0.releases.5,0.releases.5.contracts.0,0,ocds-ozzobm-000005/C/NCB/2023/2024/0901001015-CP-301220251229-kKRrML3QgO,2025-12-30T12:29:41Z,"The initial contract is amended for a period of two (2) months starting from January 1, 2026 up to February 28, 2026.","The initial contract is amended for a period of two (2) months starting from January 1, 2026 up to February 28, 2026."
0.releases.5.contracts.0.amendments.1,0.releases.5,0.releases.5.contracts.0,0,ocds-ozzobm-000005/C/NCB/2023/2024/0901001015-CP-311220251139-DybIcgcKc7,2025-12-31T11:39:53Z,"The initial contract is amended for a period of two (2) months starting from January 1, 2026 up to February 28, 2026.","The initial contract is amended for a period of two (2) months starting from January 1, 2026 up to February 28, 2026."
0.releases.6.contracts.0.amendments.0,0.releases.6,0.releases.6.contracts.0,0,ocds-ozzobm-000005/C/NCB/2023/2024/0901001015-CP-301220251229-ztaEwi3xyX,2025-12-30T12:29:41Z,"The initial contract is amended for a period of two (2) months starting from January 1, 2026 up to February 28, 2026.","The initial contract is amended for a period of two (2) months starting from January 1, 2026 up to February 28, 2026."
0.releases.6.contracts.0.amendments.1,0.releases.6,0.releases.6.contracts.0,0,ocds-ozzobm-000005/C/NCB/2023/2024/0901001015-CP-311220251139-ywcxggFtRm,2025-12-31T11:39:53Z,"The initial contract is amended for a period of two (2) months starting from January 1, 2026 up to February 28, 2026.","The initial contract is amended for a period of two (2) months starting from January 1, 2026 up to February 28, 2026."
0.releases.9.contracts.0.amendments.0,0.releases.9,0.releases.9.contracts.0,0,ocds-ozzobm-000003/C/ICB/2024/2025/1000000000-CP-301220251640-9p5doa165e,2025-12-30T16:40:45Z,The amendment is based on contract duration ,The amendment is based on contract duration 
0.releases.10.contracts.0.amendments.0,0.releases.10,0.releases.10.contracts.0,0,ocds-ozzobm-000003/C/ICB/2024/2025/1000000000-CP-301220251640-JMI80vr15j,2025-12-30T16:40:45Z,The amendment is based on contract duration ,The amendment is based on contract duration 
0.releases.16.contracts.0.amendments.0,0.releases.16,0.releases.16.contracts.0,0,ocds-ozzobm-000009/G/NCB/2024/2025/1903000000-CP-261220250932-UYW0EbWUYL,2025-12-26T09:32:50Z,Amendment No. 2 – Additional for new items.All other terms and conditions of the original contract  and its first amendment remain unchanged.,Amendment No. 2 – Additional for new items.All other terms and conditions of the original contract  and its first amendment remain unchanged.
0.releases.16.contracts.0.amendments.1,0.releases.16,0.releases.16.contracts.0,0,ocds-ozzobm-000009/G/NCB/2024/2025/1903000000-CP-170620251045-DIuV7rZbom,2025-06-17T10:45:27Z,"Amendment No. 1 – VAT Compliance Update

This amendment pertains to Law No. 009/2025 (effective May 27, 2025), which revises Law No. 049/2023 on Value Added Tax (VAT). The updated legislation amends Article One by removing the VAT exemptions previously granted under items (q) and (r) of Article 8.

As RISA (the central purchasing body for ICT equipment/services) had entered into supplier contracts under the former VAT-exempt framework, this amendment introduces an 18% VAT on all ICT equipment and services to align with the new legal requirements. All other terms and conditions of the original contract remain unchanged.","Amendment No. 1 – VAT Compliance Update

This amendment pertains to Law No. 009/2025 (effective May 27, 2025), which revises Law No. 049/2023 on Value Added Tax (VAT). The updated legislation amends Article One by removing the VAT exemptions previously granted under items (q) and (r) of Article 8.

As RISA (the central purchasing body for ICT equipment/services) had entered into supplier contracts under the former VAT-exempt framework, this amendment introduces an 18% VAT on all ICT equipment and services to align with the new legal requirements. All other terms and conditions of the original contract remain unchanged."
0.releases.16.contracts.0.amendments.2,0.releases.16,0.releases.16.contracts.0,0,ocds-ozzobm-000009/G/NCB/2024/2025/1903000000-CP-170620251441-458v0JYtSx,2025-06-17T14:41:36Z,"Amendment No. 1 – VAT Compliance Update

This amendment pertains to Law No. 009/2025 (effective May 27, 2025), which revises Law No. 049/2023 on Value Added Tax (VAT). The updated legislation amends Article One by removing the VAT exemptions previously granted under items (q) and (r) of Article 8.

As RISA (the central purchasing body for ICT equipment/services) had entered into supplier contracts under the former VAT-exempt framework, this amendment introduces an 18% VAT on all ICT equipment and services to align with the new legal requirements. All other terms and conditions of the original contract remain unchanged.","Amendment No. 1 – VAT Compliance Update

This amendment pertains to Law No. 009/2025 (effective May 27, 2025), which revises Law No. 049/2023 on Value Added Tax (VAT). The updated legislation amends Article One by removing the VAT exemptions previously granted under items (q) and (r) of Article 8.

As RISA (the central purchasing body for ICT equipment/services) had entered into supplier contracts under the former VAT-exempt framework, this amendment introduces an 18% VAT on all ICT equipment and services to align with the new legal requirements. All other terms and conditions of the original contract remain unchanged."
0.releases.26.contracts.0.amendments.0,0.releases.26,0.releases.26.contracts.0,0,ocds-ozzobm-000004/NC/NCB/2023/2024/2204000000-CP-251220250931-QZdN4VLqe3,2025-12-25T09:31:48Z,"THIS AMENDMENT CONTRACT Hereinafter referred to as the “Contract” is entered into by and between the Meteo Rwanda represented by  GAHIGI Aimable, the Director General,  Hereinafter referred to as the “Procuring Entity”

and 
FEZA GALERY SHOP Ltd , a company incorporated in Rwanda under the Registry number 103286803 Represented by MUKANYARWAYA Euphrasie , telephone: 0783101826, the Director General; Hereinafter referred to as the “ Supplier”. 
WHEREAS the Parties entered into the contract No 000004/NC/NCB/2023/2024/Meteo Rwanda for Hiring a company to provide TV weather presenter outfit of 12th 01/2024 (original contract) and its subsequent amendments;
Referring to the minutes of The Internal Tender Committee dated 17/12/2025 that recommended to renewal/extend the above mentioned contract with a period of one year/12months;
The parties, for good consideration, hereby agree to modify/amend the contract as follows:
Article 1: The contract duration
The article 1.2 GCC of the 1st amendment contract for Framework for Hiring a company to provide TV weather presenter outfit of 12th  January 2024 modifying the Article 1.2 GCC  of the contract No 000004/NC/NCB/2023/2024/Meteo Rwanda between Meteo Rwanda and FEZA GALERY SHOP Ltd of 12th January 2024 (original contract), is hereby modified as follows: 

The contract duration is twelve (12) months effective from 12/01/2026
Article 2: Provisions of original contract
The other provisions of the original contract and of its 1st amendment made a part of this contract and are valid for the period mentioned in article one of this contract.








","THIS AMENDMENT CONTRACT Hereinafter referred to as the “Contract” is entered into by and between the Meteo Rwanda represented by  GAHIGI Aimable, the Director General,  Hereinafter referred to as the “Procuring Entity”

and 
FEZA GALERY SHOP Ltd , a company incorporated in Rwanda under the Registry number 103286803 Represented by MUKANYARWAYA Euphrasie , telephone: 0783101826, the Director General; Hereinafter referred to as the “ Supplier”. 
WHEREAS the Parties entered into the contract No 000004/NC/NCB/2023/2024/Meteo Rwanda for Hiring a company to provide TV weather presenter outfit of 12th 01/2024 (original contract) and its subsequent amendments;
Referring to the minutes of The Internal Tender Committee dated 17/12/2025 that recommended to renewal/extend the above mentioned contract with a period of one year/12months;
The parties, for good consideration, hereby agree to modify/amend the contract as follows:
Article 1: The contract duration
The article 1.2 GCC of the 1st amendment contract for Framework for Hiring a company to provide TV weather presenter outfit of 12th  January 2024 modifying the Article 1.2 GCC  of the contract No 000004/NC/NCB/2023/2024/Meteo Rwanda between Meteo Rwanda and FEZA GALERY SHOP Ltd of 12th January 2024 (original contract), is hereby modified as follows: 

The contract duration is twelve (12) months effective from 12/01/2026
Article 2: Provisions of original contract
The other provisions of the original contract and of its 1st amendment made a part of this contract and are valid for the period mentioned in article one of this contract.








"
