_link,_link_releases,_link_releases_contracts,_link_main,id,documentType,title,dateModified
0.releases.1.contracts.0.documents.0,0.releases.1,0.releases.1.contracts.0,0,MnyUk3lTGaPHB1vJ6pPZ,contractNotice,New Price Schedule,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.1,0.releases.1,0.releases.1.contracts.0,0,oPB6DikyiFeTNnicE8Fv,contractNotice,New Price Schedule,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.2,0.releases.1,0.releases.1.contracts.0,0,4kmqnwneg4b1DcP7bUSR,contractNotice,Technical Specifications,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.3,0.releases.1,0.releases.1.contracts.0,0,5TCFVNOMMCKMi1XxEu7i,contractNotice,Technical Specifications,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.4,0.releases.1,0.releases.1.contracts.0,0,36OC8EI96yLERaPRBG1h,contractNotice,Certificate of site visit,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.5,0.releases.1,0.releases.1.contracts.0,0,yHNyjxgpovJ4Ljr7DwH4,contractNotice,Certificate of site visit,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.6,0.releases.1,0.releases.1.contracts.0,0,hd8Ie2aPDJFu6bgf4odM,contractNotice,Evaluation Report,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.7,0.releases.1,0.releases.1.contracts.0,0,vb4u6EiNcXeO2F4fsxkd,contractNotice,Evaluation Report,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.8,0.releases.1,0.releases.1.contracts.0,0,62uEaxoVEmDKvKqrb0jg,contractNotice,DRAFT CONTRACT,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.9,0.releases.1,0.releases.1.contracts.0,0,CGIKpeYA7YySG6TgASW6,contractNotice,DRAFT CONTRACT,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.10,0.releases.1,0.releases.1.contracts.0,0,cBtdEkBBUTdK3bb1dKu4,contractNotice,Initial Contract document C1013980242023000025.pdf,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.11,0.releases.1,0.releases.1.contracts.0,0,yuJyE0DnwJo6xH1M1voR,contractNotice,Initial Contract document C1013980242023000025.pdf,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.12,0.releases.1,0.releases.1.contracts.0,0,OqvrsPGoihfiHR2xEwBD,contractNotice,REPORT OF TENDER COMMETTEE,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.13,0.releases.1,0.releases.1.contracts.0,0,4GiD5bCJBrXHjTi3QGEQ,contractNotice,REPORT OF TENDER COMMETTEE,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.14,0.releases.1,0.releases.1.contracts.0,0,0HYNtRf24imdl6XGrkUL,contractNotice,DRAFT CONTRACT AMENDMENT,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.15,0.releases.1,0.releases.1.contracts.0,0,cjOwe3EQp6eUAPxmNbQ4,contractNotice,DRAFT CONTRACT AMENDMENT,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.16,0.releases.1,0.releases.1.contracts.0,0,2AwceboLxlus4sXTGtnH,contractNotice,Amended Contract document C1013980242023000025-1.pdf,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.17,0.releases.1,0.releases.1.contracts.0,0,2iSu5pEZEWCpJbjLDT8e,contractNotice,Amended Contract document C1013980242023000025-1.pdf,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.18,0.releases.1,0.releases.1.contracts.0,0,SbvBhZ8QXnoNpfVoWKgd,contractNotice,REPORT OF TENDER COMMITTEE,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.19,0.releases.1,0.releases.1.contracts.0,0,NfnstrEJWI7b8LhuCN9v,contractNotice,REPORT OF TENDER COMMITTEE,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.20,0.releases.1,0.releases.1.contracts.0,0,hPOI4aS0m7V8I6gG8FSR,contractNotice,DRAFT CONTRACT AMENDMENT,2025-12-22T10:29:48Z
0.releases.1.contracts.0.documents.21,0.releases.1,0.releases.1.contracts.0,0,CXb7FalMXPOfa1a8w2Xc,contractNotice,DRAFT CONTRACT AMENDMENT,2025-12-23T08:15:46Z
0.releases.1.contracts.0.documents.22,0.releases.1,0.releases.1.contracts.0,0,A56wMyXHLCSJWg5YCZtv,contractNotice,Amended Contract document C1013980242023000025-2.pdf,2026-01-01T07:34:37Z
0.releases.1.contracts.0.documents.23,0.releases.1,0.releases.1.contracts.0,0,6kMOwLiHGIbojhtAmzS3,contractNotice,REPORT OF TENDER COMMETTEE,2024-12-23T14:08:09Z
0.releases.1.contracts.0.documents.24,0.releases.1,0.releases.1.contracts.0,0,buRvEfQOrMA7PRI7KmmW,contractNotice,REPORT OF TENDER COMMETTEE,2024-12-24T11:18:17Z
0.releases.1.contracts.0.documents.25,0.releases.1,0.releases.1.contracts.0,0,nwht11XGWLEaErWyXAin,contractNotice,New Price Schedule,2024-12-23T14:08:09Z
0.releases.1.contracts.0.documents.26,0.releases.1,0.releases.1.contracts.0,0,YmCtAy8YisTORr9yEsaX,contractNotice,DRAFT CONTRACT AMENDMENT,2024-12-24T11:18:17Z
0.releases.1.contracts.0.documents.27,0.releases.1,0.releases.1.contracts.0,0,K2yrdnb62Y7CAlrM3Tfe,contractNotice,Amended Contract document C1013980242023000025-1.pdf,2025-01-01T08:20:56Z
