_link,_link_releases,_link_releases_contracts,_link_main,id,description,quantity,classification_scheme,classification_id,classification_description,unit_id,unit_name,unit_value_amount,unit_value_currency
0.releases.1.contracts.0.items.0,0.releases.1,0.releases.1.contracts.0,0,60c9f37c-caeb-4e75-aa26-1bc0c411885b,Warehouse leasing or rental service,1,UNSPSC,80131507,Warehouse leasing or rental service,10206902,"Warehouse leasing or rental service, NA, Rental of canteen",496780,RWF
0.releases.1.contracts.0.items.1,0.releases.1,0.releases.1.contracts.0,0,cb946b41-e0d0-4002-a18c-8a6a8dba997d,Warehouse leasing or rental service,1,UNSPSC,80131507,Warehouse leasing or rental service,10206902,"Warehouse leasing or rental service, NA, Rental of canteen",496780,RWF
0.releases.1.contracts.0.items.2,0.releases.1,0.releases.1.contracts.0,0,889fb77f-7c98-4cbd-acb1-c7c2e06da99e,Warehouse leasing or rental service,1,UNSPSC,80131507,Warehouse leasing or rental service,10206902,"Warehouse leasing or rental service, NA, Rental of canteen",496780,RWF
0.releases.1.contracts.0.items.3,0.releases.1,0.releases.1.contracts.0,0,b234d4e8-7ba4-4294-a9ab-7b5d53d7fce2,Warehouse leasing or rental service,1,UNSPSC,80131507,Warehouse leasing or rental service,10206902,"Warehouse leasing or rental service, NA, Rental of canteen",496780,RWF
0.releases.2.contracts.0.items.0,0.releases.2,0.releases.2.contracts.0,0,5ed70e8d-22d3-43ee-b8a8-ca4c9b5e461d,Prepared eggs,1,UNSPSC,50131609,Prepared eggs,10205266,"Prepared eggs, N/A, N/A, fanta 33cl.",708,RWF
0.releases.2.contracts.0.items.1,0.releases.2,0.releases.2.contracts.0,0,35397cb2-d764-4bb1-a11f-cd6dbf5ab53d,Prepared eggs,1,UNSPSC,50131609,Prepared eggs,10205266,"Prepared eggs, N/A, N/A, fanta 33cl.",708,RWF
0.releases.2.contracts.0.items.2,0.releases.2,0.releases.2.contracts.0,0,79519a95-a1ad-412c-9470-4deeccaadd9a,Prepared eggs,1,UNSPSC,50131609,Prepared eggs,10205266,"Prepared eggs, N/A, N/A, fanta 33cl.",708,RWF
0.releases.2.contracts.0.items.3,0.releases.2,0.releases.2.contracts.0,0,3ec6aa61-7e2f-44c6-961b-660892092a8d,Prepared eggs,1,UNSPSC,50131609,Prepared eggs,10205266,"Prepared eggs, N/A, N/A, fanta 33cl.",708,RWF
0.releases.2.contracts.0.items.4,0.releases.2,0.releases.2.contracts.0,0,108f2cc2-65a4-420d-99a4-ec9249c52e34,Fresh milk or butter products,1,UNSPSC,50131701,Fresh milk or butter products,10186705,"Fresh milk or butter products, n/a, IKIVUGUTO 500 ml",200,RWF
0.releases.2.contracts.0.items.5,0.releases.2,0.releases.2.contracts.0,0,051f379e-1dfa-4049-90e1-f468cd95a061,Fresh milk or butter products,1,UNSPSC,50131701,Fresh milk or butter products,10186705,"Fresh milk or butter products, n/a, IKIVUGUTO 500 ml",200,RWF
0.releases.2.contracts.0.items.6,0.releases.2,0.releases.2.contracts.0,0,f1468bc2-ab93-4e25-a0b5-4e9021fdbb7f,Fresh milk or butter products,1,UNSPSC,50131701,Fresh milk or butter products,10186705,"Fresh milk or butter products, n/a, IKIVUGUTO 500 ml",200,RWF
0.releases.2.contracts.0.items.7,0.releases.2,0.releases.2.contracts.0,0,91b5a99e-f358-4c9a-86cf-8a33ea4c6e56,Fresh milk or butter products,1,UNSPSC,50131701,Fresh milk or butter products,10186705,"Fresh milk or butter products, n/a, IKIVUGUTO 500 ml",200,RWF
0.releases.2.contracts.0.items.8,0.releases.2,0.releases.2.contracts.0,0,5eddafe6-396a-41f5-ad37-d086f9684f64,Fresh milk or butter products,1,UNSPSC,50131701,Fresh milk or butter products,10108365,"Fresh milk or butter products, N/A, Fermented Milk (Ikivuguto) / 500ml",200,RWF
0.releases.2.contracts.0.items.9,0.releases.2,0.releases.2.contracts.0,0,7f68f0a9-0057-4e35-9bfa-fb1cab244bdd,Fresh milk or butter products,1,UNSPSC,50131701,Fresh milk or butter products,10108365,"Fresh milk or butter products, N/A, Fermented Milk (Ikivuguto) / 500ml",200,RWF
0.releases.2.contracts.0.items.10,0.releases.2,0.releases.2.contracts.0,0,87899d61-2a01-437f-a1ec-cd6944585a5a,Fresh milk or butter products,1,UNSPSC,50131701,Fresh milk or butter products,10108365,"Fresh milk or butter products, N/A, Fermented Milk (Ikivuguto) / 500ml",200,RWF
0.releases.2.contracts.0.items.11,0.releases.2,0.releases.2.contracts.0,0,4f685779-9a69-48fc-a6ff-b4db5de26251,Fresh milk or butter products,1,UNSPSC,50131701,Fresh milk or butter products,10108365,"Fresh milk or butter products, N/A, Fermented Milk (Ikivuguto) / 500ml",200,RWF
0.releases.2.contracts.0.items.12,0.releases.2,0.releases.2.contracts.0,0,abd0515e-e359-4cc7-9ac8-4a6d98186002,Natural sugars or sweetening products,1,UNSPSC,50161509,Natural sugars or sweetening products,10191679,"Natural sugars or sweetening products, NA, Fanta in plastic bottles 500ml",944,RWF
0.releases.2.contracts.0.items.13,0.releases.2,0.releases.2.contracts.0,0,339306a3-ce35-448a-ac2a-119b0416ab5a,Natural sugars or sweetening products,1,UNSPSC,50161509,Natural sugars or sweetening products,10191679,"Natural sugars or sweetening products, NA, Fanta in plastic bottles 500ml",944,RWF
0.releases.2.contracts.0.items.14,0.releases.2,0.releases.2.contracts.0,0,40553263-ed3d-4687-9574-8de7fe84fb28,Natural sugars or sweetening products,1,UNSPSC,50161509,Natural sugars or sweetening products,10191679,"Natural sugars or sweetening products, NA, Fanta in plastic bottles 500ml",944,RWF
0.releases.2.contracts.0.items.15,0.releases.2,0.releases.2.contracts.0,0,4d5ce281-a1e4-4061-b379-7e0ee75c481e,Natural sugars or sweetening products,1,UNSPSC,50161509,Natural sugars or sweetening products,10191679,"Natural sugars or sweetening products, NA, Fanta in plastic bottles 500ml",944,RWF
0.releases.2.contracts.0.items.16,0.releases.2,0.releases.2.contracts.0,0,2b506024-7f08-4feb-920a-aaf5ec3260e7,Fresh bread,1,UNSPSC,50181901,Fresh bread,10001168,"Fresh bread, N/A, Bread",118,RWF
0.releases.2.contracts.0.items.17,0.releases.2,0.releases.2.contracts.0,0,d33e6b48-8cb3-405c-a95b-f3005995f4ad,Fresh bread,1,UNSPSC,50181901,Fresh bread,10001168,"Fresh bread, N/A, Bread",118,RWF
0.releases.2.contracts.0.items.18,0.releases.2,0.releases.2.contracts.0,0,3961409e-278b-46f4-8b44-209f9050a856,Fresh bread,1,UNSPSC,50181901,Fresh bread,10001168,"Fresh bread, N/A, Bread",118,RWF
0.releases.2.contracts.0.items.19,0.releases.2,0.releases.2.contracts.0,0,38bd208a-8e70-49d5-8f46-d45cef5e1d3f,Fresh bread,1,UNSPSC,50181901,Fresh bread,10001168,"Fresh bread, N/A, Bread",118,RWF
0.releases.2.contracts.0.items.20,0.releases.2,0.releases.2.contracts.0,0,96e63bff-11cf-41d0-b448-4a33ad91838b,Fresh bread,1,UNSPSC,50181901,Fresh bread,10032607,"Fresh bread, NA, Cake",118,RWF
0.releases.2.contracts.0.items.21,0.releases.2,0.releases.2.contracts.0,0,0746d4e9-efac-4353-a4e7-9733194b9099,Fresh bread,1,UNSPSC,50181901,Fresh bread,10032607,"Fresh bread, NA, Cake",118,RWF
0.releases.2.contracts.0.items.22,0.releases.2,0.releases.2.contracts.0,0,9e93033d-6f16-4f29-ad30-a0c3e39b530f,Fresh bread,1,UNSPSC,50181901,Fresh bread,10032607,"Fresh bread, NA, Cake",118,RWF
0.releases.2.contracts.0.items.23,0.releases.2,0.releases.2.contracts.0,0,daa8c470-dcbd-4b36-a04e-12b0b3886bdb,Fresh bread,1,UNSPSC,50181901,Fresh bread,10032607,"Fresh bread, NA, Cake",118,RWF
0.releases.2.contracts.0.items.24,0.releases.2,0.releases.2.contracts.0,0,ddbb3ff0-7abc-4d67-aa1a-2e11671cb2c0,Fresh bread,1,UNSPSC,50181901,Fresh bread,10152845,"Fresh bread, N/A, Sambusa",118,RWF
0.releases.2.contracts.0.items.25,0.releases.2,0.releases.2.contracts.0,0,b13932dd-f833-4103-a4ce-0662dabcc3e5,Fresh bread,1,UNSPSC,50181901,Fresh bread,10152845,"Fresh bread, N/A, Sambusa",118,RWF
0.releases.2.contracts.0.items.26,0.releases.2,0.releases.2.contracts.0,0,f6656fc2-098a-401a-88ac-01cbfe9095c8,Fresh bread,1,UNSPSC,50181901,Fresh bread,10152845,"Fresh bread, N/A, Sambusa",118,RWF
0.releases.2.contracts.0.items.27,0.releases.2,0.releases.2.contracts.0,0,27315e34-58e2-410f-82a2-24ba35f84cac,Fresh bread,1,UNSPSC,50181901,Fresh bread,10152845,"Fresh bread, N/A, Sambusa",118,RWF
