_link,_link_releases,_link_main,id,name,roles,identifier_scheme,identifier_id,identifier_legalName,address_streetAddress,address_locality,address_region,address_postalCode,address_countryName,contactPoint_name,contactPoint_email,contactPoint_telephone
0.releases.0.parties.0,0.releases.0,0,RW-RRA-PE-52dea0c661f091b024c516363b7cef10e3261fcd7170ebe4ea230d3bbd3a2b82,Rwanda Housing Authority (RHA),"buyer,procuringEntity",TIN,RW-RRA-PE-52dea0c661f091b024c516363b7cef10e3261fcd7170ebe4ea230d3bbd3a2b82,Rwanda Housing Authority (RHA),Kigali; Gasabo; Kacyiru,Kigali; Gasabo; Kacyiru,Kigali; Gasabo; Kacyiru,2469 Kigali,Rwanda,Noel NSANZINEZA,noel.nsanzineza@rha.gov.rw,0788304839
0.releases.1.parties.0,0.releases.1,0,RW-RRA-PE-1bdaa41dedd45952f7e6653c210f38aecb43fa31078b26c0ba3f12271dea0573,GISENYI DISTRICT HOSPITAL,"procuringEntity,buyer",TIN,RW-RRA-PE-1bdaa41dedd45952f7e6653c210f38aecb43fa31078b26c0ba3f12271dea0573,GISENYI DISTRICT HOSPITAL,"Rubavu, Gisenyi","Rubavu, Gisenyi","Rubavu, Gisenyi",175 Gisenyi ,Rwanda,CSP DR ORESTE TUGANEYEZU,gisenyi.hospital@moh.gov.rw,0788758582
0.releases.1.parties.1,0.releases.1,0,RW-RRA-SUPLR-11f8a6580fb89f8050f9e5a705bbeb6e4a1abde4627650009139dc0522eb2d47,M&M BUSINESS COMPANY Ltd,tenderer,TIN,RW-RRA-SUPLR-11f8a6580fb89f8050f9e5a705bbeb6e4a1abde4627650009139dc0522eb2d47,M&M BUSINESS COMPANY Ltd,NYAMAGABE,RWA,,,Rwanda,MUZIRANKONI  Marie Joseline,muzirankonimarie2020@gmail.com,"788226685, 0788466360"
0.releases.1.parties.2,0.releases.1,0,RW-RRA-SUPLR-5c3bd7c759a3f6e6ad1fdfdd6d6e14fc677390acca449323817b1c87229d4c1f,SALAMA MULTI SERVICE Ltd,"supplier,tenderer",TIN,RW-RRA-SUPLR-5c3bd7c759a3f6e6ad1fdfdd6d6e14fc677390acca449323817b1c87229d4c1f,SALAMA MULTI SERVICE Ltd,RUBAVU,RWA,,1,Rwanda,MUTONI  Salama,mtnsalama@gmail.com,"787761548, 788346436, 791805668"
0.releases.2.parties.0,0.releases.2,0,RW-RRA-PE-1bdaa41dedd45952f7e6653c210f38aecb43fa31078b26c0ba3f12271dea0573,GISENYI DISTRICT HOSPITAL,"procuringEntity,buyer",TIN,RW-RRA-PE-1bdaa41dedd45952f7e6653c210f38aecb43fa31078b26c0ba3f12271dea0573,GISENYI DISTRICT HOSPITAL,"Rubavu, Gisenyi","Rubavu, Gisenyi","Rubavu, Gisenyi",175 Gisenyi ,Rwanda,CSP DR ORESTE TUGANEYEZU,gisenyi.hospital@moh.gov.rw,0788758582
0.releases.2.parties.1,0.releases.2,0,RW-RRA-SUPLR-be13d9a1fb24ebf350eaaa1c9ea37e2a21e30f0fae87c1df5a0a5521c74b5ae9,JALO INVESTMENT COMPANY Ltd,tenderer,TIN,RW-RRA-SUPLR-be13d9a1fb24ebf350eaaa1c9ea37e2a21e30f0fae87c1df5a0a5521c74b5ae9,JALO INVESTMENT COMPANY Ltd,KICUKIRO :,RWA,,,Rwanda,NTAKIRUTIMANA  Jean De Dieu,ntakirutajado@gmail.com,"788300279, 0788300279, 0788300279"
0.releases.2.parties.2,0.releases.2,0,RW-RRA-SUPLR-36758f83ee0c121a46888995062c5c710587ce305cd19f58ac86b781de539adc,LA VOISINA HOTELS  LTD,tenderer,TIN,RW-RRA-SUPLR-36758f83ee0c121a46888995062c5c710587ce305cd19f58ac86b781de539adc,LA VOISINA HOTELS  LTD,MUSANZE NORTH RWANDA,RWA,,,Rwanda,Anne Marie NYIRAKAZIGA KABEJA,lavoisinahotel2@gmail.com,0783270665
0.releases.2.parties.3,0.releases.2,0,RW-RRA-SUPLR-11f8a6580fb89f8050f9e5a705bbeb6e4a1abde4627650009139dc0522eb2d47,M&M BUSINESS COMPANY Ltd,tenderer,TIN,RW-RRA-SUPLR-11f8a6580fb89f8050f9e5a705bbeb6e4a1abde4627650009139dc0522eb2d47,M&M BUSINESS COMPANY Ltd,NYAMAGABE,RWA,,,Rwanda,MUZIRANKONI  Marie Joseline,muzirankonimarie2020@gmail.com,"788226685, 0788466360"
0.releases.2.parties.4,0.releases.2,0,RW-RRA-SUPLR-48f77a64b850dfdd8ce92fe60a869683eae86d63a555fa4567be3f7a45f40310,KANE GLOBAL Ltd,tenderer,TIN,RW-RRA-SUPLR-48f77a64b850dfdd8ce92fe60a869683eae86d63a555fa4567be3f7a45f40310,KANE GLOBAL Ltd,KAMEMBE-RUSIZI,RWA,,,Rwanda,KAYUMBA  Innocent Guy Vernon,kanesglobal@gmail.com,"0788446765, 0792034273, 0792034273"
0.releases.2.parties.5,0.releases.2,0,RW-RRA-SUPLR-5c3bd7c759a3f6e6ad1fdfdd6d6e14fc677390acca449323817b1c87229d4c1f,SALAMA MULTI SERVICE Ltd,"supplier,tenderer",TIN,RW-RRA-SUPLR-5c3bd7c759a3f6e6ad1fdfdd6d6e14fc677390acca449323817b1c87229d4c1f,SALAMA MULTI SERVICE Ltd,RUBAVU,RWA,,1,Rwanda,MUTONI  Salama,mtnsalama@gmail.com,"787761548, 788346436, 791805668"
0.releases.3.parties.0,0.releases.3,0,RW-RRA-PE-1bdaa41dedd45952f7e6653c210f38aecb43fa31078b26c0ba3f12271dea0573,GISENYI DISTRICT HOSPITAL,"procuringEntity,buyer",TIN,RW-RRA-PE-1bdaa41dedd45952f7e6653c210f38aecb43fa31078b26c0ba3f12271dea0573,GISENYI DISTRICT HOSPITAL,"Rubavu, Gisenyi","Rubavu, Gisenyi","Rubavu, Gisenyi",175 Gisenyi ,Rwanda,CSP DR ORESTE TUGANEYEZU,gisenyi.hospital@moh.gov.rw,0788758582
0.releases.3.parties.1,0.releases.3,0,RW-RRA-SUPLR-475a03c217e9c0cb90354a3f2da652b1a3151137cf96ef3387f8cbb85c216520,FIRST IN FIRST OUT (FIFO)  LTD,tenderer,TIN,RW-RRA-SUPLR-475a03c217e9c0cb90354a3f2da652b1a3151137cf96ef3387f8cbb85c216520,FIRST IN FIRST OUT (FIFO)  LTD,kigali,RWA,,3442,Rwanda,KARANGWA  Emmanuel,companyfifo1@gmail.com,0788300791
0.releases.3.parties.2,0.releases.3,0,RW-RRA-SUPLR-2cec01654aae9789eec56cc716b78ab5b5548e3294232ce9579315656a6141f6,SCC SERVICE Ltd,"supplier,tenderer",TIN,RW-RRA-SUPLR-2cec01654aae9789eec56cc716b78ab5b5548e3294232ce9579315656a6141f6,SCC SERVICE Ltd,kicukiro,RWA,,,Rwanda,IRANKUNDA ERIC,sccserviceltd@gmail.com,0788302262
0.releases.4.parties.0,0.releases.4,0,RW-RRA-PE-5ecfce6a8d6e9dcf67e5d78c8ab55b8cb821614a66bd01218158bf946ce24c6a,Commercialization and De Risking for Agricultural Transformation (CDAT) Project,"buyer,procuringEntity",TIN,RW-RRA-PE-5ecfce6a8d6e9dcf67e5d78c8ab55b8cb821614a66bd01218158bf946ce24c6a,Commercialization and De Risking for Agricultural Transformation (CDAT) Project,KACYIRU,KACYIRU,KACYIRU,,Rwanda,Stephen RWAMULANGWA,stephen.rwamulangwa@rab.gov.rw,"0788305780, 0788305780, 0788305780"
0.releases.5.parties.0,0.releases.5,0,RW-RRA-PE-5ecfce6a8d6e9dcf67e5d78c8ab55b8cb821614a66bd01218158bf946ce24c6a,Commercialization and De Risking for Agricultural Transformation (CDAT) Project,"procuringEntity,buyer",TIN,RW-RRA-PE-5ecfce6a8d6e9dcf67e5d78c8ab55b8cb821614a66bd01218158bf946ce24c6a,Commercialization and De Risking for Agricultural Transformation (CDAT) Project,KACYIRU,KACYIRU,KACYIRU,,Rwanda,Stephen RWAMULANGWA,stephen.rwamulangwa@rab.gov.rw,"0788305780, 0788305780, 0788305780"
0.releases.5.parties.1,0.releases.5,0,RW-RRA-SUPLR-8d5e30d3c4d9c4f4b5834a7f30acb5b61fdb2a409640dbc3cbe587f33fabc173,ECO-EXCELLENCE CONSULTANCY  LTD,tenderer,TIN,RW-RRA-SUPLR-8d5e30d3c4d9c4f4b5834a7f30acb5b61fdb2a409640dbc3cbe587f33fabc173,ECO-EXCELLENCE CONSULTANCY  LTD,KACYIRU,RWA,,3418,Rwanda,SONGA  SILVIN,mapetule1@gmail.com,"0788356191, 0783138786"
0.releases.5.parties.2,0.releases.5,0,RW-RRA-SUPLR-48ef785520bcf70372c15775c7eee402e8e83625529effc51541a68377e835bc,BUREAU FOR ENGINEERING AND ENVIRONMENTAL STUDIES/BESST Ltd,"supplier,tenderer",TIN,RW-RRA-SUPLR-48ef785520bcf70372c15775c7eee402e8e83625529effc51541a68377e835bc,BUREAU FOR ENGINEERING AND ENVIRONMENTAL STUDIES/BESST Ltd,"Kimironko- Gasabo, KG182, Martin Plaza, second Floor",RWA,,,Rwanda,HABAKUBAHO  Theogene,besst_ltd@yahoo.com,0788643982
0.releases.5.parties.3,0.releases.5,0,RW-RRA-SUPLR-09e69ba73a15f98dc8ef04239c939a799c92d4dd591c0784777bbbbc096b7a96,STANDARD BUILDERS COMPANY Ltd,tenderer,TIN,RW-RRA-SUPLR-09e69ba73a15f98dc8ef04239c939a799c92d4dd591c0784777bbbbc096b7a96,STANDARD BUILDERS COMPANY Ltd,KK 479 St 08,RWA,,,Rwanda,NIYIBIZI  Promesse,promesse08@gmail.com,"788474009, 781456956"
