_link,_link_releases,_link_releases_parties,_link_main,scheme,id,description
0.releases.1.parties.1.details.classifications.0,0.releases.1,0.releases.1.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.1.parties.2.details.classifications.0,0.releases.1,0.releases.1.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.2.parties.2.details.classifications.0,0.releases.2,0.releases.2.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.2.parties.3.details.classifications.0,0.releases.2,0.releases.2.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.2.parties.5.details.classifications.0,0.releases.2,0.releases.2.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.9.parties.2.details.classifications.0,0.releases.9,0.releases.9.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.10.parties.2.details.classifications.0,0.releases.10,0.releases.10.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.11.parties.3.details.classifications.0,0.releases.11,0.releases.11.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.12.parties.3.details.classifications.0,0.releases.12,0.releases.12.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.13.parties.5.details.classifications.0,0.releases.13,0.releases.13.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.13.parties.10.details.classifications.0,0.releases.13,0.releases.13.parties.10,0,WLB,WLB,Woman-Lead Business
0.releases.15.parties.3.details.classifications.0,0.releases.15,0.releases.15.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.15.parties.8.details.classifications.0,0.releases.15,0.releases.15.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.16.parties.2.details.classifications.0,0.releases.16,0.releases.16.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.17.parties.3.details.classifications.0,0.releases.17,0.releases.17.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.17.parties.8.details.classifications.0,0.releases.17,0.releases.17.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.18.parties.5.details.classifications.0,0.releases.18,0.releases.18.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.19.parties.3.details.classifications.0,0.releases.19,0.releases.19.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.19.parties.8.details.classifications.0,0.releases.19,0.releases.19.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.20.parties.3.details.classifications.0,0.releases.20,0.releases.20.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.20.parties.8.details.classifications.0,0.releases.20,0.releases.20.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.26.parties.1.details.classifications.0,0.releases.26,0.releases.26.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.26.parties.3.details.classifications.0,0.releases.26,0.releases.26.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.27.parties.1.details.classifications.0,0.releases.27,0.releases.27.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.27.parties.3.details.classifications.0,0.releases.27,0.releases.27.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.30.parties.1.details.classifications.0,0.releases.30,0.releases.30.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.31.parties.3.details.classifications.0,0.releases.31,0.releases.31.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.32.parties.2.details.classifications.0,0.releases.32,0.releases.32.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.33.parties.2.details.classifications.0,0.releases.33,0.releases.33.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.41.parties.2.details.classifications.0,0.releases.41,0.releases.41.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.41.parties.3.details.classifications.0,0.releases.41,0.releases.41.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.41.parties.7.details.classifications.0,0.releases.41,0.releases.41.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.41.parties.8.details.classifications.0,0.releases.41,0.releases.41.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.42.parties.1.details.classifications.0,0.releases.42,0.releases.42.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.42.parties.3.details.classifications.0,0.releases.42,0.releases.42.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.42.parties.6.details.classifications.0,0.releases.42,0.releases.42.parties.6,0,WLB,WLB,Woman-Lead Business
0.releases.42.parties.7.details.classifications.0,0.releases.42,0.releases.42.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.42.parties.10.details.classifications.0,0.releases.42,0.releases.42.parties.10,0,WLB,WLB,Woman-Lead Business
0.releases.42.parties.12.details.classifications.0,0.releases.42,0.releases.42.parties.12,0,WLB,WLB,Woman-Lead Business
0.releases.42.parties.13.details.classifications.0,0.releases.42,0.releases.42.parties.13,0,WLB,WLB,Woman-Lead Business
0.releases.43.parties.1.details.classifications.0,0.releases.43,0.releases.43.parties.1,0,WLB,WLB,Woman-Lead Business
0.releases.46.parties.2.details.classifications.0,0.releases.46,0.releases.46.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.47.parties.2.details.classifications.0,0.releases.47,0.releases.47.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.56.parties.3.details.classifications.0,0.releases.56,0.releases.56.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.56.parties.4.details.classifications.0,0.releases.56,0.releases.56.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.65.parties.3.details.classifications.0,0.releases.65,0.releases.65.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.65.parties.8.details.classifications.0,0.releases.65,0.releases.65.parties.8,0,WLB,WLB,Woman-Lead Business
0.releases.66.parties.2.details.classifications.0,0.releases.66,0.releases.66.parties.2,0,WLB,WLB,Woman-Lead Business
0.releases.66.parties.4.details.classifications.0,0.releases.66,0.releases.66.parties.4,0,WLB,WLB,Woman-Lead Business
0.releases.67.parties.3.details.classifications.0,0.releases.67,0.releases.67.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.68.parties.5.details.classifications.0,0.releases.68,0.releases.68.parties.5,0,WLB,WLB,Woman-Lead Business
0.releases.68.parties.7.details.classifications.0,0.releases.68,0.releases.68.parties.7,0,WLB,WLB,Woman-Lead Business
0.releases.69.parties.3.details.classifications.0,0.releases.69,0.releases.69.parties.3,0,WLB,WLB,Woman-Lead Business
0.releases.69.parties.7.details.classifications.0,0.releases.69,0.releases.69.parties.7,0,WLB,WLB,Woman-Lead Business
