_link,_link_releases,_link_main,id,relationship,title,scheme,identifier
0.releases.0.relatedProcesses.0,0.releases.0,0,P000181/2025/2026/1804000000,planning,Design and Build for Renovation of Podium Gallery located at Plenary Hall of the Chamber of Deputies at the Parliament of Rwanda,ocid,ocds-ozzobm-P000181/2025/2026/1804000000
0.releases.1.relatedProcesses.0,0.releases.1,0,P000032/2023/2024/5600003001,planning,LOCATION CANTINE,ocid,ocds-ozzobm-P000032/2023/2024/5600003001
0.releases.2.relatedProcesses.0,0.releases.2,0,P000026/2023/2024/5600003001,planning,Refreshment of hosptital staff and visitors,ocid,ocds-ozzobm-P000026/2023/2024/5600003001
0.releases.3.relatedProcesses.0,0.releases.3,0,P000025/2024/2025/5600003001,planning,Cleaning services,ocid,ocds-ozzobm-P000025/2024/2025/5600003001
0.releases.4.relatedProcesses.0,0.releases.4,0,P000058/2025/2026/0901001015,planning,Hiring a firm to conduct  Resettlement Action Plan (RAP) for Project sites,ocid,ocds-ozzobm-P000058/2025/2026/0901001015
0.releases.5.relatedProcesses.0,0.releases.5,0,P000029/2023/2024/0901001015,planning,Hiring a Consultancy firm for preparation of Resettlement Action Plan (RAP) report for Bugarama marshland,ocid,ocds-ozzobm-P000029/2023/2024/0901001015
0.releases.6.relatedProcesses.0,0.releases.6,0,P000029/2023/2024/0901001015,planning,Hiring a Consultancy firm for preparation of Resettlement Action Plan (RAP) report for Bugarama marshland,ocid,ocds-ozzobm-P000029/2023/2024/0901001015
0.releases.7.relatedProcesses.0,0.releases.7,0,P000001/2025/2026/0901001015,planning,Rehabilitation works for Muvumba 8 (1500ha),ocid,ocds-ozzobm-P000001/2025/2026/0901001015
0.releases.8.relatedProcesses.0,0.releases.8,0,P000016/2025/2026/2318000000,planning,Maintenance and repair of assets at Nyamagabe Rehabilitation Center,ocid,ocds-ozzobm-P000016/2025/2026/2318000000
0.releases.9.relatedProcesses.0,0.releases.9,0,P000045/2024/2025/1000000000,planning,"Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.",ocid,ocds-ozzobm-P000045/2024/2025/1000000000
0.releases.10.relatedProcesses.0,0.releases.10,0,P000045/2024/2025/1000000000,planning,"Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.",ocid,ocds-ozzobm-P000045/2024/2025/1000000000
0.releases.11.relatedProcesses.0,0.releases.11,0,P000004/2023/2024/1421000001,planning,"Hiring a consulting firm to develop, review, pilot and administer the assessment tool in the 300 low performing schools for the remedial teaching and learning pilot program.",ocid,ocds-ozzobm-P000004/2023/2024/1421000001
0.releases.12.relatedProcesses.0,0.releases.12,0,P000004/2023/2024/1421000001,planning,"Hiring a consulting firm to develop, review, pilot and administer the assessment tool in the 300 low performing schools for the remedial teaching and learning pilot program.",ocid,ocds-ozzobm-P000004/2023/2024/1421000001
0.releases.13.relatedProcesses.0,0.releases.13,0,P000011/2025/2026/2900000000,planning,Hiring a service provider for codification of MoE assets,ocid,ocds-ozzobm-P000011/2025/2026/2900000000
0.releases.14.relatedProcesses.0,0.releases.14,0,P000105/2025/2026/4800000000,planning,Rehabilitation of Teachers Hostel,ocid,ocds-ozzobm-P000105/2025/2026/4800000000
0.releases.15.relatedProcesses.0,0.releases.15,0,P000049/2025/2026/1305000000,planning,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",ocid,ocds-ozzobm-P000049/2025/2026/1305000000
0.releases.16.relatedProcesses.0,0.releases.16,0,P000064/2024/2025/1903000000,planning,Tender for supply of photo  CAMERAS   on behalf of all Government Institutions,ocid,ocds-ozzobm-P000064/2024/2025/1903000000
0.releases.17.relatedProcesses.0,0.releases.17,0,P000049/2025/2026/1305000000,planning,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",ocid,ocds-ozzobm-P000049/2025/2026/1305000000
0.releases.18.relatedProcesses.0,0.releases.18,0,P000053/2025/2026/3100000000,planning,"Tender for conception, design and printing of documents and other material for MINUBUMWE 's events( Certificates,  Umbrellas , pull-up banners, branded t-shirts,…..)",ocid,ocds-ozzobm-P000053/2025/2026/3100000000
0.releases.19.relatedProcesses.0,0.releases.19,0,P000049/2025/2026/1305000000,planning,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",ocid,ocds-ozzobm-P000049/2025/2026/1305000000
0.releases.20.relatedProcesses.0,0.releases.20,0,P000049/2025/2026/1305000000,planning,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",ocid,ocds-ozzobm-P000049/2025/2026/1305000000
0.releases.21.relatedProcesses.0,0.releases.21,0,P000038/2025/2026/0701000000,planning,SUPPLY OF FUEL FOR RNP ON FRAMEWORK AGREEMENT,ocid,ocds-ozzobm-P000038/2025/2026/0701000000
0.releases.22.relatedProcesses.0,0.releases.22,0,P000038/2025/2026/0701000000,planning,SUPPLY OF FUEL FOR RNP ON FRAMEWORK AGREEMENT,ocid,ocds-ozzobm-P000038/2025/2026/0701000000
0.releases.23.relatedProcesses.0,0.releases.23,0,P000066/2025/2026/0701000000,planning,"SUPPLY OF SPORT WEAR FOR POLICE ATHLETICS, KARATE AND TAEKWONDO CLUBS ON FRAMEWORK AGREEMENT",ocid,ocds-ozzobm-P000066/2025/2026/0701000000
0.releases.24.relatedProcesses.0,0.releases.24,0,P000038/2025/2026/0701000000,planning,SUPPLY OF FUEL FOR RNP ON FRAMEWORK AGREEMENT,ocid,ocds-ozzobm-P000038/2025/2026/0701000000
0.releases.25.relatedProcesses.0,0.releases.25,0,P000041/2025/2026/6200000000,planning,Management of Gicumbi District slaughter located in Byumba sector,ocid,ocds-ozzobm-P000041/2025/2026/6200000000
0.releases.26.relatedProcesses.0,0.releases.26,0,P000052/2023/2024/2204000000,planning,Hire a company to provide TV weather presenters outfit,ocid,ocds-ozzobm-P000052/2023/2024/2204000000
0.releases.27.relatedProcesses.0,0.releases.27,0,P000052/2023/2024/2204000000,planning,Hire a company to provide TV weather presenters outfit,ocid,ocds-ozzobm-P000052/2023/2024/2204000000
