_link,_link_releases,_link_main,id,documentType,title,dateModified
0.releases.0.tender.documents.0,0.releases.0,0,122025154259194-590e,tenderNotice,Tender document re advert,2026-01-01T07:23:16Z
0.releases.1.tender.documents.0,0.releases.1,0,102023100940091-65cf,tenderNotice,DRAFT DOCUMENT,2023-10-20T10:56:50Z
0.releases.2.tender.documents.0,0.releases.2,0,102023133634285-6df4,tenderNotice,TENDER DOCUMENT,2023-10-18T09:32:35Z
0.releases.3.tender.documents.0,0.releases.3,0,102024134624681-7b70,tenderNotice,TENDER DOCUMENT,2024-10-09T13:53:04Z
0.releases.3.tender.documents.1,0.releases.3,0,102024134624686-7b6f,tenderNotice,.DETAILS OF UNIT PRICE FOR  CLEANING SERVICES,2024-10-09T13:53:04Z
0.releases.4.tender.documents.0,0.releases.4,0,122025142435536-7cd1,tenderNotice,Request for Expression of Intrest,2026-01-01T12:56:55Z
0.releases.5.tender.documents.0,0.releases.5,0,022024153448845-7dcb,tenderNotice,Request for Proposal,2024-03-19T09:25:15Z
0.releases.5.tender.documents.1,0.releases.5,0,112023172513739-7857,tenderNotice,Request for EOI,2023-11-11T18:10:49Z
0.releases.5.tender.documents.2,0.releases.5,0,112023172513754-7856,tenderNotice,Terms of Reference ,2023-11-11T18:10:49Z
0.releases.6.tender.documents.0,0.releases.6,0,022024153448845-7dcb,tenderNotice,Request for Proposal,2024-03-19T09:25:15Z
0.releases.6.tender.documents.1,0.releases.6,0,112023172513739-7857,tenderNotice,Request for EOI,2023-11-11T18:10:49Z
0.releases.6.tender.documents.2,0.releases.6,0,112023172513754-7856,tenderNotice,Terms of Reference ,2023-11-11T18:10:49Z
0.releases.7.tender.documents.0,0.releases.7,0,112025120608877-7c8d,tenderNotice,Amended Bidding Document,2025-11-07T13:58:42Z
0.releases.7.tender.documents.1,0.releases.7,0,112025143641326-7905,tenderNotice,Bidding Document,2025-11-07T13:58:42Z
0.releases.7.tender.documents.2,0.releases.7,0,112025143641840-7904,tenderNotice,Beneficial Ownership Disclosure Form,2025-11-07T13:58:42Z
0.releases.9.tender.documents.0,0.releases.9,0,012025103513130-6592,tenderNotice,EOI Letter,2025-01-30T14:51:11Z
0.releases.9.tender.documents.1,0.releases.9,0,012025103513143-6591,tenderNotice,ToRs,2025-01-30T14:51:11Z
0.releases.9.tender.documents.2,0.releases.9,0,012025103513157-6590,tenderNotice,Beneficial Ownership ,2025-01-30T14:51:11Z
0.releases.9.tender.documents.3,0.releases.9,0,052025104803854-7d85,tenderNotice,RFP,2025-05-28T11:05:48Z
0.releases.9.tender.documents.4,0.releases.9,0,052025104803911-7d84,tenderNotice,TORs,2025-05-28T11:05:48Z
0.releases.9.tender.documents.5,0.releases.9,0,052025104803960-7d83,tenderNotice,Beneficial ownership,2025-05-28T11:05:48Z
