_link,_link_releases,_link_main,id,title,description,status,value_amount,value_currency,submissionTerms_electronicSubmissionPolicy
0.releases.1.tender.lots.0,0.releases.1,0,1,LOCATION CANTINE,LOCATION CANTINE,active,300000,RWF,allowed
0.releases.2.tender.lots.0,0.releases.2,0,1,Refreshment of hospital staff and visitors,Refreshment of hospital staff and visitors,active,8400000,RWF,allowed
0.releases.3.tender.lots.0,0.releases.3,0,1,Re-Advertising of Cleaning services,Cleaning services,active,129000000,RWF,allowed
0.releases.4.tender.lots.0,0.releases.4,0,1,LotNo1,,active,,,allowed
0.releases.5.tender.lots.0,0.releases.5,0,1,LotNo1,,active,,,allowed
0.releases.5.tender.lots.1,0.releases.5,0,1,Hiring a Consultancy firm for preparation of Resettlement Action Plan (RAP) report for Bugarama marshland,RAP Bugarama marshland,active,27900000,RWF,allowed
0.releases.6.tender.lots.0,0.releases.6,0,1,LotNo1,,active,,,allowed
0.releases.6.tender.lots.1,0.releases.6,0,1,Hiring a Consultancy firm for preparation of Resettlement Action Plan (RAP) report for Bugarama marshland,RAP Bugarama marshland,active,27900000,RWF,allowed
0.releases.7.tender.lots.0,0.releases.7,0,1,Rehabilitation works for Muvumba 8 (1500ha),Rehabilitation works for Muvumba 8 (1500ha),active,3105371162,RWF,allowed
0.releases.9.tender.lots.0,0.releases.9,0,1,LotNo1,,active,,,allowed
0.releases.9.tender.lots.1,0.releases.9,0,1,"Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.","Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ",active,480700500,RWF,allowed
0.releases.10.tender.lots.0,0.releases.10,0,1,LotNo1,,active,,,allowed
0.releases.10.tender.lots.1,0.releases.10,0,1,"Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ.","Hiring consulting firm to conduct feasibility studies for the development of a Tannery Park Special Economic Zone, including an Environmental Impact Assessment and engineering designs for the SEZ",active,480700500,RWF,allowed
0.releases.11.tender.lots.0,0.releases.11,0,1,LotNo1,,active,,,allowed
0.releases.12.tender.lots.0,0.releases.12,0,1,LotNo1,,active,,,allowed
0.releases.14.tender.lots.0,0.releases.14,0,1,Rehabilitation of Teachers Hostel,Rehabilitation of Teachers Hostel,active,26310540,RWF,allowed
0.releases.14.tender.lots.1,0.releases.14,0,1,Rehabilitation of Teachers Hostel,Rehabilitation of Teachers Hostel,active,26310540,RWF,allowed
0.releases.15.tender.lots.0,0.releases.15,0,1,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming","Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",active,12000000,RWF,allowed
0.releases.17.tender.lots.0,0.releases.17,0,1,"Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming","Provision of Sports and Recreational Facilities for RFI Staff: Access to Gym, Aerobics, Sauna, and Swimming",active,12000000,RWF,allowed
