_link,_link_releases,_link_main,id,name
0.releases.1.tender.tenderers.0,0.releases.1,0,RW-RRA-SUPLR-11f8a6580fb89f8050f9e5a705bbeb6e4a1abde4627650009139dc0522eb2d47,M&M BUSINESS COMPANY Ltd
0.releases.1.tender.tenderers.1,0.releases.1,0,RW-RRA-SUPLR-5c3bd7c759a3f6e6ad1fdfdd6d6e14fc677390acca449323817b1c87229d4c1f,SALAMA MULTI SERVICE Ltd
0.releases.2.tender.tenderers.0,0.releases.2,0,RW-RRA-SUPLR-be13d9a1fb24ebf350eaaa1c9ea37e2a21e30f0fae87c1df5a0a5521c74b5ae9,JALO INVESTMENT COMPANY Ltd
0.releases.2.tender.tenderers.1,0.releases.2,0,RW-RRA-SUPLR-36758f83ee0c121a46888995062c5c710587ce305cd19f58ac86b781de539adc,LA VOISINA HOTELS  LTD
0.releases.2.tender.tenderers.2,0.releases.2,0,RW-RRA-SUPLR-11f8a6580fb89f8050f9e5a705bbeb6e4a1abde4627650009139dc0522eb2d47,M&M BUSINESS COMPANY Ltd
0.releases.2.tender.tenderers.3,0.releases.2,0,RW-RRA-SUPLR-48f77a64b850dfdd8ce92fe60a869683eae86d63a555fa4567be3f7a45f40310,KANE GLOBAL Ltd
0.releases.2.tender.tenderers.4,0.releases.2,0,RW-RRA-SUPLR-5c3bd7c759a3f6e6ad1fdfdd6d6e14fc677390acca449323817b1c87229d4c1f,SALAMA MULTI SERVICE Ltd
0.releases.3.tender.tenderers.0,0.releases.3,0,RW-RRA-SUPLR-475a03c217e9c0cb90354a3f2da652b1a3151137cf96ef3387f8cbb85c216520,FIRST IN FIRST OUT (FIFO)  LTD
0.releases.3.tender.tenderers.1,0.releases.3,0,RW-RRA-SUPLR-2cec01654aae9789eec56cc716b78ab5b5548e3294232ce9579315656a6141f6,SCC SERVICE Ltd
0.releases.5.tender.tenderers.0,0.releases.5,0,RW-RRA-SUPLR-8d5e30d3c4d9c4f4b5834a7f30acb5b61fdb2a409640dbc3cbe587f33fabc173,ECO-EXCELLENCE CONSULTANCY  LTD
0.releases.5.tender.tenderers.1,0.releases.5,0,RW-RRA-SUPLR-48ef785520bcf70372c15775c7eee402e8e83625529effc51541a68377e835bc,BUREAU FOR ENGINEERING AND ENVIRONMENTAL STUDIES/BESST Ltd
0.releases.5.tender.tenderers.2,0.releases.5,0,RW-RRA-SUPLR-09e69ba73a15f98dc8ef04239c939a799c92d4dd591c0784777bbbbc096b7a96,STANDARD BUILDERS COMPANY Ltd
0.releases.5.tender.tenderers.3,0.releases.5,0,RW-RRA-SUPLR-739ec77b846ad913811cc124579cc44f902f83f5bd4e89256ff0e826ddb64ce4,WAPCOS LIMITED
0.releases.6.tender.tenderers.0,0.releases.6,0,RW-RRA-SUPLR-8d5e30d3c4d9c4f4b5834a7f30acb5b61fdb2a409640dbc3cbe587f33fabc173,ECO-EXCELLENCE CONSULTANCY  LTD
0.releases.6.tender.tenderers.1,0.releases.6,0,RW-RRA-SUPLR-48ef785520bcf70372c15775c7eee402e8e83625529effc51541a68377e835bc,BUREAU FOR ENGINEERING AND ENVIRONMENTAL STUDIES/BESST Ltd
0.releases.6.tender.tenderers.2,0.releases.6,0,RW-RRA-SUPLR-09e69ba73a15f98dc8ef04239c939a799c92d4dd591c0784777bbbbc096b7a96,STANDARD BUILDERS COMPANY Ltd
0.releases.6.tender.tenderers.3,0.releases.6,0,RW-RRA-SUPLR-739ec77b846ad913811cc124579cc44f902f83f5bd4e89256ff0e826ddb64ce4,WAPCOS LIMITED
